country,author,date_of_publication,title_3,study_design,study_timeframe,sources_of_data,study_setting_location,hospital_service_coverage_area,bed_capacity_number,operating_rooms_number,burn_unit_availability_yes_no,anesthesia_availability_yes_no,ventilator_availability_yes_no,blood_bank_availability_yes_no,laboratory_services_available_yes_no,imaging_services_available_yes_no,sterilization_facilities_yes_no,surveillance_system_yes_no,surveillance_system_details,health_information_system_yes_no,health_information_system_details,surgeons_number,surgeons_description,anesthetists_number,anesthetists_description,nurses_number,nurses_description,other_healthcare_providers_number,other_healthcare_providers_description,affiliation_of_surgeons_other_healthcare_providers_number,affiliation_of_surgeons_other_healthcare_providers_description,sample_size,prevalence_rate,incidence_rate,disability_adjusted_life_years_dal_ys,cost_to_individuals_cost_in_usd_or_other_currency,cost_to_government_cost_in_usd_or_other_currency
Uganda,"Wilson J., Hodges A.",NA,Cleft lip and palate surgery carried out by one team in Uganda: where have all the palates gone?,Other: Retrospective Review,02/1997 - 09/2007,medical records,specialist cleft lip and palate unit in Uganda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""A prospective database is kept for all patients presenting to our unit."" (specialist cleft lip and palate unit in Uganda)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1501 patients (Complete data were available for 1304 patients),NA,NA,NA,NA,NA
Malawi,"Whitaker J., Brunelli G., Van Boeckel T.P., et al.",02/2022,"Access to care following injury in Northern Malawi, a comparison of travel time estimates between Geographic Information System and community household reports","Other: GIS analyisis, observtional study, and comparative study",NA,"Health and Demographic Surveillance Site (HDSS) data
Household surveys
GPS recordings",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""This study focused on the health system serving the Karonga
Health and Demographic Surveillance Site (HDSS) population,
Karonga District, Northern Malaw""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sub-Saharan Africa (multi-country review),"Wester J.R., Weissman J.P., Reddy N.K., et al.",21-Aug,The Current State of Cleft Care in Sub-Saharan Africa: A Narrative Review,Other: A retrospective narrative nonsystematic literature review,01/1966 – 02/2021,"“PubMed, MEDLINE, EMBASE, and Google scholar databases”","SSA (Nigeria, Ghana, Ethiopia, Zimbabwe, Uganda, Zambia)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30 studies included,"0.57 per 1,000 live births in Africa",NA,2.1 to 4.7 million DALYs averted globally by Smile Train; mean DALY per patient: 3.8 to 9.0,NA,NA
Kenya,"Wanjara S., Oduor P.",22-Nov,Hand injuries in Kenya: a chaff cutter menace,Other: retrospective descriptive study,07/2019 - 06/2020,medical records (patients’ records and from the register of operations in the operating room),Nakuru Level V Hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,patients’ records and from the register of operations in the operating room,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47 patients,NA,NA,NA,NA,NA
Uganda,"Walker I.A., Obua A.D., Mouton F., et al.",10-Jun,Paediatric surgery and anaesthesia in south-western Uganda: A cross-sectional survey,Other: cross-sectional survey and retrospective review,08/2007 – 07/2008,primary data collection (structured interviews); medical records (theatre logbook),"14 districts in south-western Uganda (Government, NGO, and private hospitals performing surgery)

9 district hospitals, 3 referral hospitals, 1 private hospital, 12 hospitals belonging to missions or to nongovernmental organizations (NGOs), 4 Health Centres IV (HCIV).","""6305000 and the population aged ≤ 14 years at 3089000 (49% of the total).""","government health centers IV = 142 beds (median = 32, range = 29-50);
government district hospital = 979 (median = 100, range = 100-150); 
government referral hospital = 980 (median = 330, range = 200-450);
NGO/mission hospital = 1736 (median = 147, range = 25-300);
private hospital = 100","government health centers IV = 6 (median = 1.5, range =1-2);
government district hospital = 18 (median = 2, range = 2-2);
government referral hospital = 6 (median =2, range = 2-2);
NGO/mission hospital = 30 (median = 2, range = 1-4) ;
private hospital = 1",NA,Yes,NA,Limited,Partial,NA,NA,NA,NA,yes,operating theatre logbooks,"Government health centers IV
specialist surgeon = 0;
trainee surgeon = 0;
medical officer = 5 (median = 1, range = 1-2);

Government district hospital
specialist surgeon = 2 (median = 0, range = 0-1);
trainee surgeon = 0;
medical officer = 22 (median = 2, range = 1-5);

Government referral hospital
specialist surgeon = 26 (median = 4, range = 2-20);
trainee surgeon = 17 (median = 3, range = 3-11);
medical officer = 7 (median =3.5, range = 2-5);

NGO/mission hospital
specialist surgeon = 12 (median = 0, range = 0-4);
trainee surgeon = 0;
medical officer = 29 (median = 3, range = 2-5); 

Private hospital
specialist surgeon = 3;
trainee surgeon = 0;
medical officer = 2",“There were 43 consultant specialist surgeons in the region.”,"Government health centers IV
physician anesthetist = 0;
anesthetic officer = 1 (median = 0, range = 0-1);
anesthetic assistant = 4 (median = 1, range = 0-1);
trained on the job = 0;

Government district hospital
physician anesthetist = 0;
anesthetic officer = 11 (median = 2, range =0-2);
anesthetic assistant = 8 (median = 1, range = 0-2);
trained on the job = 6 (median = 0, range = 0-3);

Government referral hospital
physician anesthetist = 7 (median = 1, range = 0-6);
anesthetic officer = 13 (median = 5, range = 3-5);
anesthetic assistant = 3 (median = 1, range = 0-2);
trained on the job = 1 (median = 0, range = 0-1);

NGO/mission hospital
physician anesthetist = 0;
anesthetic officer = 8  (median = 1, range = 0-2);
anesthetic assistant = 10  (median = 1 , range = 0-2);
trained on the job = 10  (median = 1, range =0-4);

Private hospital
physician anesthetist = 2;
anesthetic officer = 0;
anesthetic assistant = 1;
trained on the job = 0","“Only 9 were physicians… 33 anaesthetic officers, 26 assistants, 17 trained on the job.”",NA,NA,NA,“Many lacked specialist surgical training.”,local; foreign,"""...visiting surgeons funded by external organisations, such as Smile Train or Interplast, performed specialist surgery."";
""According to our survey, in Uganda large volumes of surgery are handled by a small number of hospitals and an important fraction of all operations is performed in mission/NGO hospitals and by visiting surgical teams.""",29 hospitals performing major surgery,NA,"180 paediatric surgeries per 100,000 population

652 surgeries (all ages) per 100,000 population",NA,NA,NA
Côte d'Ivoire,"Vilasco B., Bondurand A.",1995,"Burns in Abidjan, Cote d'Ivoire",Other: Retrospective study,01/1993 - 12/1993,medical records,Abidjan burns centre (Teaching Hospital of Cocody in Abidjan),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314 patients,NA,NA,NA,NA,NA
Malawi,"Varela C., Viste A., Young S., et al.",21-Jun,Paediatric surgical conditions in Malawi - A cross-sectional nationwide household survey,"Other: cross-sectional, nationwide survey",07/2016 - 08/2016,primary data collection (population-based household survey interviews),28 of 29 districts in Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6 paediatric surgeons nationwide,“Malawi has only six paediatric surgeons…”,NA,NA,NA,NA,32 medical students,“32 medical students from Malawi College of Medicine…”,NA,NA,510 total children (255 alive; 255 deceased),NA,NA,NA,NA,NA
Kenya,"van Kooij E., Schrever I., Kizito W., et al.",11-Sep,"Responding to major burn disasters in resource-limited settings: lessons learned from an oil tanker explosion in Nakuru, Kenya",Other: Retrospective review,9-Jan,Hospital registers and patient files,"Nakuru Provincial General Hospital (NPGH), Kenya (referral hospital)",NA,600; 5 ICU beds,4,no,NA,Yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89 patients,NA,NA,NA,NA,NA
Sierra Leone,"Van Kesteren J., Van Duinen A.J., Marah F., et al.",22-Sep,PREvalence Study on Surgical COnditions (PRESSCO) 2020: A Population-Based Cross-Sectional Countrywide Survey on Surgical Conditions in Post-Ebola Outbreak Sierra Leone,Other: population-based cross-sectional household survey,10/2019 - 03/2020,Interviews and physical examinations using an adapted SOSAS tool,across Sierra Leone (population-based survey),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3618 individuals surveyed,NA,NA,NA,NA,NA
Uganda,"Ullrich S., Kisa P., Ruzgar N., et al.",20-Oct,Implementation of a contextually appropriate pediatric emergency surgical care course in Uganda,Cross sectional study,02/2018 - 06/2019,Primary data collection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"259
","""In Uganda there are 259 surgeons, a majority (71%) practicing in the nation's capital, Kampala""",NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA
Nigeria,"Ukwaja K.N., Meka A.O., Chukwuka A., et al.",16-Apr,Buruli ulcer in Nigeria: Results of a pilot case study in three rural districts,Cross sectional study,05/2012 - 04/2013,Survey,"12 primary health centres and four secondary health care facilities (including the St Benedict Tuberculosis and Leprosy Rehabilitation Hospital Ogoja (SBHO), which is a private not-for-profit (faith-based) hospital that serves as a referral centre for tuberculosis and leprosy control in the whole of Ogoja)","""Covering an estimated population of 192,169 people.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36 patients,"Crude prevalence:
- Total population  = 18.7 per 100,000
- Ogoja LGA = 41.4 per 100,000
- Bekwarra = 7.2 per 100,000
- Yala = 6.0 per 100,00",NA,NA,NA,NA
Nigeria,"Ugwumba F.O., Nnabugwu I.I., Ozoemena O.F.N.",12-Feb,Fournier's gangrene -- analysis of management and outcome in south-eastern Nigeria,Other: retrospective descriptive case series,01/1995 - 12/2008,medical records (case notes; operating theatre registers; urology ward admission registers),University of Nigeria Teaching Hospital; St Mary’s Hospital (both urological referral centres ),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,operating theatre registers; urology ward admission registers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28 patients,NA,NA,NA,NA,NA
Nigeria,"Ugwu E., Adeleye O., Gezawa I., et al.",19-Mar,Burden of diabetic foot ulcer in Nigeria: Current evidence from the multicenter evaluation of diabetic foot ulcer in Nigeria,Other: Observational study,03/2016 - 04/2017,Primary data collection (structured proforma and interviews),"Six tertiary healthcare institutions ( Enugu State University Teaching Hospital located in South-Eastern Nigeria, Lagos State University Teaching Hospital in the South-West, Aminu Kano Teaching Hospital in the North-West, Ahmadu Bello University Teaching Hospital Zaria also in the North-West, Federal Medical Center Keffi in the North-Central and Federal Medical Center Umuahia also located in the South-East)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1350 diabetes admissions and 336 patients with DFU,NA,NA,NA,NA,NA
Nigeria,"Ugburo A.O., Fadeyibi I.O., Mofikoya B.O., et al.",12-Jul,"Neonatal burns in Lagos, South-Western Nigeria: Epidemiology and outcome of management","Other: retrospective, multi‑center case series",01/2004 - 12/2008,medical records (case notes),"four government owned tertiary health institutions serving as referral hospitals for burn trauma (Lagos State University Teaching Hospital (LASUTH), the National Orthopedic Hospital, Igbobi (NOHI), Lagos University Teaching Hospital (LUTH) and the Federal Medical Center Lagos (FMCL))",Lagos metropolitan area (population >9 million),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,case notes,Not specified,"""The centers that are involved in this study were staffed with burn surgeons...""",NA,NA,Not specified,"""...burn nurses and other properly trained staff.""",NA,NA,NA,NA,21 neonates with burns,NA,"""The incidence of neonatal burns ranged between 0.5 and 2.5%/year.""",NA,NA,NA
Nigeria,"Ugboko V.I., Olasoji H.O., Ajike S.O., et al.",2-Oct,Facial injuries caused by animals in northern Nigeria,Other: retrospective survey,01/1995 - 12/2000,case records and radiographs of patients,"Teaching hospitals (Usmanu Danfodiyo University Teaching Hospital; Ahmadu Bello University Teaching Hospital, Kaduna; University of Maiduguri Teaching Hospital, Maiduguri)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""Data were retrieved from the case records and radiographs of patients about personal characteristics""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34 patients,NA,NA,NA,NA,NA
Nigeria,"Ugboko V., Udoye C., Ndukwe K., et al.",5-Jan,Zygomatic complex fractures in a suburban Nigerian population,Other: Retrospective study,01/1990 - 07/2003,Hospital case records and radiographs,"Maxillofacial Unit, Obafemi Awolowo University Teaching Hospital, Ile-Ife, Nigeria",NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128 patients with 140 zygomatic complex fractures,NA,NA,NA,NA,NA
Malawi,"Tyson A.F., Msiska N., Kiser M., et al.",14-Feb,Delivery of operative pediatric surgical care by physicians and non-physician clinicians in Malawi,Case control study,01/2012 – 12/2012,medical records (operating theatre log book),Kamuzu Central Hospital (a tertiary hospital in Lilongwe and serves as a referral central),"6 million people (""KCH is a 1000-bed tertiary hospital in Lilongwe and serves as a referral central for approximately 6 million people in the central region of Malawi."")",100,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,operating theatre log book; pediatric outcomes database,"4 full-time general surgery consultants at KCH; 
5 visiting general surgery and subspecialty consultants;
11 Malawian general and orthopedic surgical residents;
2 American general surgery residents","""The surgical staff available at KCH during the study period included four full-time general surgery consultants, one urologist, five visiting general surgery and subspecialty consultants, and sixteen full-time clinical officers. Also operating during the study period were eleven Malawian general and orthopedic surgical residents and two American general surgery residents. """,6 clinical offer anesthetists,"""The main operating theatre at KCH has four fully functional operating rooms with six clinical officer anesthetists.""",NA,NA,"1 urologist;
16 full-time clinical officers;
","""The surgical staff available at KCH during the study period included four full-time general surgery consultants, one urologist, five visiting general surgery and subspecialty consultants, and sixteen full-time clinical officers. Also operating during the study period were eleven Malawian general and orthopedic surgical residents and two American general surgery residents. ""","local surgeons = 20 ;
foreign surgeons = 2
","KCH; 
Malawi (general);
United States of America",1186 operative procedures performed on 1004 pediatric patients,NA,NA,NA,NA,NA
Malawi,"Tyson A.F., Boschini L.P., Kiser M.M., et al.",2013,Survival after burn in a sub-Saharan burn unit: Challenges and opportunities,Other: Retrospective analysis of prospectively collected registry data,06/2011 - 12/2012,Burn registry (June 2011 – December 2012),"Kamuzu Central Hospital (KCH), Lilongwe, Malawi","""Referral center for approximately 5 million people""",31 beds in burn unit,Not specified,Yes,NA,NA,NA,NA,NA,NA,NA,NA,Yes,"""The burn registry was established to collect patient demographic and clinical characteristics in addition to outcome""",2 clinical officers with surgical oversight,"""2 trained clinical officer staff with surgical oversight""",NA,NA,10 full-time nurses,"""Pediatric and adult patients are admitted to the same unit, which consists of 31 beds, 10 full-time nurses, and 2 trained clinical officer staff with surgical oversight""","2 clinical offers;
Physiotherapists (limited)","""Pediatric and adult patients are admitted to the same unit, which consists of 31 beds, 10 full-time nurses, and 2 trained clinical officer staff with surgical oversight"";
""Patients have access to post-operative physiotherapy, although this service remains limited""",NA,NA,454 patients,NA,NA,NA,NA,NA
Côte d'Ivoire,"Toppino S., N’Krumah R.T.A.S., Kone B.V., et al.",22-Oct,Skin wounds in a rural setting of Côte d’Ivoire: Population-based assessment of the burden and clinical epidemiology,Other: Cross-sectional study with active (household-based) and passive (health services-based) case finding,05/2019 – 03/2021,"Household survey, health center records, wound management study","Ahondo Health Area, Tiassalé district, Côte d’Ivoire (part of Taabo HDSS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,“...within the Taabo Health and Demographic Surveillance System (HDSS)...”,Yes,“...data were double-entered into a RedCap database...”,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561 patients with 923 wounds,"13.0% overall wound prevalence; BU: 2.3 per 1000

WOUND PREVALENCE
- Mechanical trauma: 354 cases (85.3%) = 92.1 per 1,000 (95% CI: 83.0–101.3)
- Furuncle: 21 cases (5.1%) = 5.5 per 1,000 (95% CI: 3.1–7.8)
- Burn: 12 cases (2.9%) = 3.1 per 1,000 (95% CI: 1.4–4.9)
- Buruli ulcer: 9 cases (2.2%) = 2.3 per 1,000 (95% CI: 0.8–3.9)
- Yaws: 4 cases (1.0%) = 1.0 per 1,000 (95% CI: 0.02–2.1)
- Chronic wound of unknown origin: 6 cases (1.4%) = 1.6 per 1,000 (95% CI: 0.3–2.8)
- Inactive Buruli ulcer: 4 cases (1.0%) = 1.0 per 1,000 (95% CI: 0.02–2.1)",NA,NA,NA,NA
Ivory Coast,"Toppino S., Koffi D.Y., Kone B.V., et al.",22-Oct,Community-based wound management in a rural setting of Côte d’Ivoire,Other: Prospective observational study,05/2019 - 03/2020,Household-based survey and health services-based survey,"Three levels (community, health centre, district hospital) in the Ahondo Health Area, Tiassale district, Cote d’Ivoire which is part of Taabo Health and Demographic Surveillance System",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""We conducted a prospective observational study on community-based wound management at three levels (community, health centre, district hospital) in the Ahondo Health Area, Tiassale district, Cote d’Ivoire which is part of Taabo Health and Demographic Surveillance System (HDSS).""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561 patients (39 lost to follow-up); 923 wounds (49 lost to follow-up),NA,NA,NA,NA,NA
Zimbabwe,"Tollefson T.T., Shaye D., Durbin-Johnson B., et al.",15-Feb,Cleft lip-cleft palate in Zimbabwe: estimating the distribution of the surgical burden of disease using geographic information systems,Other: Longitudinal cross-sectional/geospatial distribution study.,2006-2012,medical records,"clinics nationwide (""...biannual surgery screening clinics in Harare, Zimbabwe.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,"""The screening form data were rigorously collected and entered into a secure, online database (Velos eResearch; Velos, Inc., Fremont, CA), which had been designed in conjunction with the University of California, Davis Biomedical Informatics, Clinical & Translational Sciences Center.""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604 patients,NA,NA,NA,NA,NA
